Local Search Strategy:
Lap 1/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 101.9 Kg, PitStop: No, LapTime: 01:34.984 (hh:)mm:ss.ms
Lap 25/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 56.57 Kg, PitStop: Yes, LapTime: 01:48.204 (hh:)mm:ss.ms
Lap 26/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 54.68 Kg, PitStop: No, LapTime: 01:23.170 (hh:)mm:ss.ms
Lap 27/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 52.8 Kg, PitStop: No, LapTime: 01:23.138 (hh:)mm:ss.ms
Lap 28/53 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0% RR:4.0%, FuelLoad: 50.91 Kg, PitStop: No, LapTime: 01:23.104 (hh:)mm:ss.ms
Lap 29/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 49.02 Kg, PitStop: Yes, LapTime: 01:47.750 (hh:)mm:ss.ms
Lap 30/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 47.13 Kg, PitStop: No, LapTime: 01:22.718 (hh:)mm:ss.ms
Lap 31/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 45.24 Kg, PitStop: No, LapTime: 01:22.684 (hh:)mm:ss.ms
Lap 32/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 43.35 Kg, PitStop: Yes, LapTime: 01:48.635 (hh:)mm:ss.ms
Lap 33/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 41.46 Kg, PitStop: No, LapTime: 01:23.546 (hh:)mm:ss.ms
Lap 34/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 39.58 Kg, PitStop: No, LapTime: 01:23.469 (hh:)mm:ss.ms
Lap 35/53 -> Compound: 'Hard' TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 37.69 Kg, PitStop: No, LapTime: 01:23.378 (hh:)mm:ss.ms
Lap 36/53 -> Compound: 'Hard' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:4.0%, FuelLoad: 35.8 Kg, PitStop: No, LapTime: 01:23.302 (hh:)mm:ss.ms
Lap 37/53 -> Compound: 'Hard' TyreAge: 5 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 33.91 Kg, PitStop: No, LapTime: 01:23.218 (hh:)mm:ss.ms
Lap 38/53 -> Compound: 'Hard' TyreAge: 6 Laps, TyreWear: FL:8.0% FR:8.0% RL:7.0% RR:6.0%, FuelLoad: 32.02 Kg, PitStop: No, LapTime: 01:23.129 (hh:)mm:ss.ms
Lap 39/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 30.13 Kg, PitStop: Yes, LapTime: 01:46.618 (hh:)mm:ss.ms
Lap 40/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 28.24 Kg, PitStop: Yes, LapTime: 01:45.904 (hh:)mm:ss.ms
Lap 41/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 26.36 Kg, PitStop: No, LapTime: 01:20.900 (hh:)mm:ss.ms
Lap 42/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 24.47 Kg, PitStop: Yes, LapTime: 01:47.502 (hh:)mm:ss.ms
Lap 43/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 22.58 Kg, PitStop: Yes, LapTime: 01:53.225 (hh:)mm:ss.ms
Lap 44/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 20.69 Kg, PitStop: Yes, LapTime: 01:45.450 (hh:)mm:ss.ms
Lap 45/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 18.8 Kg, PitStop: No, LapTime: 01:20.446 (hh:)mm:ss.ms
Lap 46/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 16.91 Kg, PitStop: No, LapTime: 01:20.442 (hh:)mm:ss.ms
Lap 47/53 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 15.02 Kg, PitStop: No, LapTime: 01:20.450 (hh:)mm:ss.ms
Lap 48/53 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:10.0% FR:9.0% RL:8.0% RR:6.0%, FuelLoad: 13.14 Kg, PitStop: No, LapTime: 01:20.446 (hh:)mm:ss.ms
Lap 49/53 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:12.0% FR:11.0% RL:9.0% RR:8.0%, FuelLoad: 11.25 Kg, PitStop: No, LapTime: 01:20.432 (hh:)mm:ss.ms
Lap 50/53 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:15.0% FR:13.0% RL:11.0% RR:9.0%, FuelLoad: 9.36 Kg, PitStop: No, LapTime: 01:20.430 (hh:)mm:ss.ms
Lap 51/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 7.47 Kg, PitStop: Yes, LapTime: 01:46.482 (hh:)mm:ss.ms
Lap 52/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 5.58 Kg, PitStop: No, LapTime: 01:21.393 (hh:)mm:ss.ms
Lap 53/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 3.69 Kg, PitStop: No, LapTime: 01:21.315 (hh:)mm:ss.ms

Local Search Timing: 01:21:06.529
