Log file of circuit Monza at 21/10/2022 17:38:31

Population: 100
Iterations: 10
Mutation: 0.8
Crossover: 0.6
PitStopTime: 00:25.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:14:32.444 -> best overall: 01:25:44.551 - difference: 11:12.107 - valid strategies: 15.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:14:32.444 -> best overall: 01:25:44.551 - difference: 11:12.107 - valid strategies: 7.0% | threshold is 0.2 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:41.573 - difference: 10:09.129 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:39.741 - difference: 10:07.297 - valid strategies: 22.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:10.761 - difference: 09:38.317 - valid strategies: 14.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:14:32.444 -> best overall: 01:23:45.568 - difference: 09:13.124 - valid strategies: 17.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:14:32.444 -> best overall: 01:23:14.110 - difference: 08:41.666 - valid strategies: 13.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:14:32.444 -> best overall: 01:22:51.088 - difference: 08:18.644 - valid strategies: 14.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:14:32.444 -> best overall: 01:22:07.989 - difference: 07:35.545 - valid strategies: 9.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:14:32.444 -> best overall: 01:21:39.414 - difference: 07:06.970 - valid strategies: 20.0% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 4899414
Best Strategy time: 01:21:39.414

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '100.72' Kg, PitStop 'No', Time '01:29.113' ms
Lap 23: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '59.17' Kg, PitStop 'No', Time '01:23.476' ms
Lap 24: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '57.28' Kg, PitStop 'No', Time '01:23.442' ms
Lap 25: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '55.39' Kg, PitStop 'No', Time '01:23.408' ms
Lap 26: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '8.0'% | '8.0'% | '7.0'% | '6.0'%, Fuel '53.5' Kg, PitStop 'No', Time '01:23.390' ms
Lap 27: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '51.61' Kg, PitStop 'Yes', Time '01:47.342' ms
Lap 28: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '49.72' Kg, PitStop 'No', Time '01:22.338' ms
Lap 29: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '47.84' Kg, PitStop 'No', Time '01:22.332' ms
Lap 30: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '45.95' Kg, PitStop 'Yes', Time '01:54.662' ms
Lap 31: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '44.06' Kg, PitStop 'Yes', Time '01:47.488' ms
Lap 32: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '42.17' Kg, PitStop 'No', Time '01:22.456' ms
Lap 33: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '40.28' Kg, PitStop 'No', Time '01:22.422' ms
Lap 34: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '38.39' Kg, PitStop 'No', Time '01:22.388' ms
Lap 35: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '36.5' Kg, PitStop 'Yes', Time '01:54.096' ms
Lap 36: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '34.62' Kg, PitStop 'No', Time '01:29.005' ms
Lap 37: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '32.73' Kg, PitStop 'No', Time '01:28.913' ms
Lap 38: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '30.84' Kg, PitStop 'Yes', Time '02:13.395' ms
Lap 39: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.95' Kg, PitStop 'Yes', Time '01:46.582' ms
Lap 40: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '27.06' Kg, PitStop 'No', Time '01:21.548' ms
Lap 41: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '25.17' Kg, PitStop 'No', Time '01:21.516' ms
Lap 42: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '23.28' Kg, PitStop 'No', Time '01:21.482' ms
Lap 43: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '21.39' Kg, PitStop 'Yes', Time '01:47.353' ms
Lap 44: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '19.51' Kg, PitStop 'Yes', Time '01:45.416' ms
Lap 45: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '17.62' Kg, PitStop 'No', Time '01:20.412' ms
Lap 46: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '15.73' Kg, PitStop 'No', Time '01:20.406' ms
Lap 47: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '13.84' Kg, PitStop 'No', Time '01:20.416' ms
Lap 48: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '11.95' Kg, PitStop 'No', Time '01:20.412' ms
Lap 49: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '12.0'% | '11.0'% | '9.0'% | '8.0'%, Fuel '10.06' Kg, PitStop 'No', Time '01:20.396' ms
Lap 50: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '15.0'% | '13.0'% | '11.0'% | '9.0'%, Fuel '8.17' Kg, PitStop 'No', Time '01:20.394' ms
Lap 51: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '6.29' Kg, PitStop 'Yes', Time '01:46.447' ms
Lap 52: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '4.4' Kg, PitStop 'No', Time '01:21.357' ms
Lap 53: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '2.51' Kg, PitStop 'No', Time '01:21.280' ms
Time elapsed: 00:06.450
