Log file of circuit Montreal at 22/08/2022 13:44:12

Population: 100
Iterations: 500
Mutation: 0.1
Crossover: 1.0
PitStopTime: 00:24.000
Weather: 'S'



Best Strategy fitness: 6156476
Best Strategy time: 01:42:36.476

 vs 

Bruteforce fitness: 5126822
Bruteforce time: 01:25:26.822
Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '108.77' Kg, PitStop 'No', Time '01:15.727' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '8.0'% | '7.0'% | '8.0'% | '8.0'%, Fuel '91.06' Kg, PitStop 'No', Time '01:13.368' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '10.0'% | '9.0'% | '10.0'% | '10.0'%, Fuel '89.59' Kg, PitStop 'No', Time '01:13.452' ms
Lap 15: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '88.11' Kg, PitStop 'Yes', Time '02:05.004' ms
Lap 16: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '86.64' Kg, PitStop 'No', Time '01:41.059' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '85.16' Kg, PitStop 'Yes', Time '01:36.404' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '83.69' Kg, PitStop 'No', Time '01:12.484' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '4.0'% | '4.0'% | '4.0'%, Fuel '82.21' Kg, PitStop 'No', Time '01:12.565' ms
Lap 20: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '80.74' Kg, PitStop 'Yes', Time '02:04.591' ms
Lap 21: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '79.26' Kg, PitStop 'Yes', Time '01:36.074' ms
Lap 22: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '77.78' Kg, PitStop 'No', Time '01:12.153' ms
Lap 23: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '4.0'% | '4.0'% | '4.0'%, Fuel '76.31' Kg, PitStop 'No', Time '01:12.235' ms
Lap 24: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '6.0'%, Fuel '74.83' Kg, PitStop 'No', Time '01:12.294' ms
Lap 25: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '73.36' Kg, PitStop 'Yes', Time '02:04.178' ms
Lap 26: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '71.88' Kg, PitStop 'No', Time '01:40.233' ms
Lap 27: Rain 0% -> Compound 'Wet', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '70.41' Kg, PitStop 'No', Time '01:40.288' ms
Lap 28: Rain 0% -> Compound 'Wet', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '3.0'%, Fuel '68.93' Kg, PitStop 'No', Time '01:40.344' ms
Lap 29: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '67.46' Kg, PitStop 'Yes', Time '01:35.836' ms
Lap 30: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '65.98' Kg, PitStop 'No', Time '01:11.852' ms
Lap 31: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '64.51' Kg, PitStop 'No', Time '01:11.892' ms
Lap 32: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '63.03' Kg, PitStop 'Yes', Time '01:35.588' ms
Lap 33: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '61.55' Kg, PitStop 'Yes', Time '01:36.500' ms
Lap 34: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '60.08' Kg, PitStop 'No', Time '01:12.470' ms
Lap 35: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '58.6' Kg, PitStop 'No', Time '01:12.438' ms
Lap 36: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '3.0'%, Fuel '57.13' Kg, PitStop 'No', Time '01:12.408' ms
Lap 37: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '4.0'% | '4.0'% | '4.0'% | '4.0'%, Fuel '55.65' Kg, PitStop 'No', Time '01:12.378' ms
Lap 38: Rain 0% -> Compound 'Hard', TyresAge 5, Wear '5.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '54.18' Kg, PitStop 'No', Time '01:12.346' ms
Lap 39: Rain 0% -> Compound 'Hard', TyresAge 6, Wear '6.0'% | '5.0'% | '6.0'% | '6.0'%, Fuel '52.7' Kg, PitStop 'No', Time '01:12.304' ms
Lap 40: Rain 0% -> Compound 'Hard', TyresAge 7, Wear '7.0'% | '6.0'% | '7.0'% | '7.0'%, Fuel '51.23' Kg, PitStop 'No', Time '01:12.272' ms
Lap 41: Rain 0% -> Compound 'Hard', TyresAge 8, Wear '8.0'% | '7.0'% | '8.0'% | '8.0'%, Fuel '49.75' Kg, PitStop 'No', Time '01:12.244' ms
Lap 42: Rain 0% -> Compound 'Hard', TyresAge 9, Wear '9.0'% | '8.0'% | '9.0'% | '9.0'%, Fuel '48.27' Kg, PitStop 'No', Time '01:12.214' ms
Lap 43: Rain 0% -> Compound 'Hard', TyresAge 10, Wear '10.0'% | '9.0'% | '10.0'% | '10.0'%, Fuel '46.8' Kg, PitStop 'No', Time '01:12.184' ms
Lap 44: Rain 0% -> Compound 'Hard', TyresAge 11, Wear '11.0'% | '10.0'% | '11.0'% | '10.0'%, Fuel '45.32' Kg, PitStop 'No', Time '01:12.140' ms
Lap 45: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '43.85' Kg, PitStop 'Yes', Time '01:35.510' ms
Lap 46: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '42.37' Kg, PitStop 'Yes', Time '01:35.426' ms
Lap 47: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '40.9' Kg, PitStop 'Yes', Time '02:02.360' ms
Lap 48: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '39.42' Kg, PitStop 'No', Time '01:38.415' ms
Lap 49: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '37.95' Kg, PitStop 'Yes', Time '01:34.184' ms
Lap 50: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '36.47' Kg, PitStop 'No', Time '01:10.200' ms
Lap 51: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '34.99' Kg, PitStop 'No', Time '01:10.240' ms
Lap 52: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '4.0'% | '3.0'% | '4.0'% | '4.0'%, Fuel '33.52' Kg, PitStop 'No', Time '01:10.306' ms
Lap 53: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '32.04' Kg, PitStop 'Yes', Time '02:01.864' ms
Lap 54: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '30.57' Kg, PitStop 'No', Time '01:37.919' ms
Lap 55: Rain 0% -> Compound 'Wet', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '29.09' Kg, PitStop 'No', Time '01:37.975' ms
Lap 56: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '27.62' Kg, PitStop 'Yes', Time '02:01.616' ms
Lap 57: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '26.14' Kg, PitStop 'No', Time '01:37.671' ms
Lap 58: Rain 0% -> Compound 'Wet', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '24.67' Kg, PitStop 'No', Time '01:37.727' ms
Lap 59: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '23.19' Kg, PitStop 'Yes', Time '01:33.358' ms
Lap 60: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '21.72' Kg, PitStop 'Yes', Time '01:33.276' ms
Lap 61: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '20.24' Kg, PitStop 'No', Time '01:09.290' ms
Lap 62: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '18.76' Kg, PitStop 'Yes', Time '01:34.104' ms
Lap 63: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '17.29' Kg, PitStop 'Yes', Time '02:01.038' ms
Lap 64: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '15.81' Kg, PitStop 'No', Time '01:37.093' ms
Lap 65: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '14.34' Kg, PitStop 'Yes', Time '01:32.862' ms
Lap 66: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '12.86' Kg, PitStop 'No', Time '01:08.878' ms
Lap 67: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '11.39' Kg, PitStop 'No', Time '01:08.918' ms
Lap 68: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '4.0'% | '3.0'% | '4.0'% | '4.0'%, Fuel '9.91' Kg, PitStop 'No', Time '01:08.982' ms
Lap 69: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '5.0'% | '4.0'% | '5.0'% | '5.0'%, Fuel '8.44' Kg, PitStop 'No', Time '01:09.000' ms
Lap 70: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '6.0'% | '5.0'% | '6.0'% | '6.0'%, Fuel '6.96' Kg, PitStop 'No', Time '01:09.016' ms
Time elapsed: 00:00.631
