Best Strategy fitness: 5041412
Best Strategy time: 01:24:01.412

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.11' Kg, PitStop 'No', Time '01:34.960' ms
Lap 35: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '36.9' Kg, PitStop 'No', Time '01:21.788' ms
Lap 36: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '35.01' Kg, PitStop 'Yes', Time '02:13.633' ms
Lap 37: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '33.12' Kg, PitStop 'Yes', Time '01:53.881' ms
Lap 38: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '31.23' Kg, PitStop 'No', Time '01:28.790' ms
Lap 39: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '29.34' Kg, PitStop 'Yes', Time '01:45.994' ms
Lap 40: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '27.45' Kg, PitStop 'No', Time '01:20.990' ms
Lap 41: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '25.57' Kg, PitStop 'No', Time '01:20.984' ms
Lap 42: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '23.68' Kg, PitStop 'Yes', Time '01:45.654' ms
Lap 43: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '21.79' Kg, PitStop 'Yes', Time '01:45.540' ms
Lap 44: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '19.9' Kg, PitStop 'No', Time '01:20.536' ms
Lap 45: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '18.01' Kg, PitStop 'Yes', Time '01:45.914' ms
Lap 46: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '16.12' Kg, PitStop 'Yes', Time '01:47.025' ms
Lap 47: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '14.23' Kg, PitStop 'Yes', Time '01:45.688' ms
Lap 48: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '12.35' Kg, PitStop 'No', Time '01:20.654' ms
Lap 49: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '10.46' Kg, PitStop 'Yes', Time '01:45.460' ms
Lap 50: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '8.57' Kg, PitStop 'No', Time '01:20.428' ms
Lap 51: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '6.68' Kg, PitStop 'Yes', Time '01:52.294' ms
Lap 52: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '4.79' Kg, PitStop 'No', Time '01:27.203' ms
Lap 53: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '2.9' Kg, PitStop 'Yes', Time '01:45.008' ms
