Lap 1/70 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 101.81 Kg, PitStop: No, LapTime: 01:15.956 (hh:)mm:ss.ms
Lap 13/70 -> Compound: 'Medium', TyreAge: 12 Laps, TyreWear: FL:15.0% FR:13.0% RL:15.0 RR:14.0%, FuelLoad: 85.58 Kg, PitStop: No, LapTime: 01:14.430 (hh:)mm:ss.ms
Lap 14/70 -> Compound: 'Medium', TyreAge: 13 Laps, TyreWear: FL:16.0% FR:14.0% RL:17.0 RR:16.0%, FuelLoad: 84.1 Kg, PitStop: No, LapTime: 01:14.506 (hh:)mm:ss.ms
Lap 15/70 -> Compound: 'Medium', TyreAge: 14 Laps, TyreWear: FL:17.0% FR:15.0% RL:18.0 RR:17.0%, FuelLoad: 82.63 Kg, PitStop: No, LapTime: 01:14.530 (hh:)mm:ss.ms
Lap 16/70 -> Compound: 'Medium', TyreAge: 15 Laps, TyreWear: FL:18.0% FR:16.0% RL:19.0 RR:18.0%, FuelLoad: 81.15 Kg, PitStop: No, LapTime: 01:14.552 (hh:)mm:ss.ms
Lap 17/70 -> Compound: 'Medium', TyreAge: 16 Laps, TyreWear: FL:19.0% FR:17.0% RL:20.0 RR:19.0%, FuelLoad: 79.68 Kg, PitStop: No, LapTime: 01:14.580 (hh:)mm:ss.ms
Lap 18/70 -> Compound: 'Medium', TyreAge: 17 Laps, TyreWear: FL:21.0% FR:18.0% RL:22.0 RR:21.0%, FuelLoad: 78.2 Kg, PitStop: No, LapTime: 01:14.688 (hh:)mm:ss.ms
Lap 19/70 -> Compound: 'Medium', TyreAge: 18 Laps, TyreWear: FL:22.0% FR:20.0% RL:23.0 RR:22.0%, FuelLoad: 76.73 Kg, PitStop: No, LapTime: 01:14.746 (hh:)mm:ss.ms
Lap 20/70 -> Compound: 'Medium', TyreAge: 19 Laps, TyreWear: FL:23.0% FR:21.0% RL:24.0 RR:23.0%, FuelLoad: 75.25 Kg, PitStop: No, LapTime: 01:14.774 (hh:)mm:ss.ms
Lap 21/70 -> Compound: 'Medium', TyreAge: 20 Laps, TyreWear: FL:24.0% FR:22.0% RL:25.0 RR:24.0%, FuelLoad: 73.78 Kg, PitStop: No, LapTime: 01:14.808 (hh:)mm:ss.ms
Lap 22/70 -> Compound: 'Medium', TyreAge: 21 Laps, TyreWear: FL:25.0% FR:23.0% RL:27.0 RR:25.0%, FuelLoad: 72.3 Kg, PitStop: No, LapTime: 01:14.868 (hh:)mm:ss.ms
Lap 23/70 -> Compound: 'Medium', TyreAge: 22 Laps, TyreWear: FL:27.0% FR:24.0% RL:28.0 RR:27.0%, FuelLoad: 70.82 Kg, PitStop: No, LapTime: 01:14.964 (hh:)mm:ss.ms
Lap 24/70 -> Compound: 'Medium', TyreAge: 23 Laps, TyreWear: FL:28.0% FR:25.0% RL:29.0 RR:28.0%, FuelLoad: 69.35 Kg, PitStop: No, LapTime: 01:15.000 (hh:)mm:ss.ms
Lap 25/70 -> Compound: 'Medium', TyreAge: 24 Laps, TyreWear: FL:29.0% FR:26.0% RL:31.0 RR:29.0%, FuelLoad: 67.87 Kg, PitStop: No, LapTime: 01:15.070 (hh:)mm:ss.ms
Lap 26/70 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 66.4 Kg, PitStop: Yes, LapTime: 01:35.930 (hh:)mm:ss.ms
Lap 27/70 -> Compound: 'Medium', TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0 RR:1.0%, FuelLoad: 64.92 Kg, PitStop: No, LapTime: 01:11.946 (hh:)mm:ss.ms
Lap 28/70 -> Compound: 'Medium', TyreAge: 2 Laps, TyreWear: FL:2.0% FR:2.0% RL:3.0 RR:2.0%, FuelLoad: 63.45 Kg, PitStop: No, LapTime: 01:11.986 (hh:)mm:ss.ms
Lap 29/70 -> Compound: 'Medium', TyreAge: 3 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0 RR:4.0%, FuelLoad: 61.97 Kg, PitStop: No, LapTime: 01:12.052 (hh:)mm:ss.ms
Lap 30/70 -> Compound: 'Medium', TyreAge: 4 Laps, TyreWear: FL:5.0% FR:4.0% RL:5.0 RR:5.0%, FuelLoad: 60.5 Kg, PitStop: No, LapTime: 01:12.068 (hh:)mm:ss.ms
Lap 31/70 -> Compound: 'Medium', TyreAge: 5 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0 RR:6.0%, FuelLoad: 59.02 Kg, PitStop: No, LapTime: 01:12.084 (hh:)mm:ss.ms
Lap 32/70 -> Compound: 'Medium', TyreAge: 6 Laps, TyreWear: FL:7.0% FR:7.0% RL:8.0 RR:7.0%, FuelLoad: 57.54 Kg, PitStop: No, LapTime: 01:12.150 (hh:)mm:ss.ms
Lap 33/70 -> Compound: 'Medium', TyreAge: 7 Laps, TyreWear: FL:8.0% FR:8.0% RL:9.0 RR:8.0%, FuelLoad: 56.07 Kg, PitStop: No, LapTime: 01:12.168 (hh:)mm:ss.ms
Lap 34/70 -> Compound: 'Medium', TyreAge: 8 Laps, TyreWear: FL:10.0% FR:9.0% RL:10.0 RR:10.0%, FuelLoad: 54.59 Kg, PitStop: No, LapTime: 01:12.236 (hh:)mm:ss.ms
Lap 35/70 -> Compound: 'Medium', TyreAge: 9 Laps, TyreWear: FL:11.0% FR:10.0% RL:11.0 RR:11.0%, FuelLoad: 53.12 Kg, PitStop: No, LapTime: 01:12.254 (hh:)mm:ss.ms
Lap 36/70 -> Compound: 'Medium', TyreAge: 10 Laps, TyreWear: FL:12.0% FR:11.0% RL:13.0 RR:12.0%, FuelLoad: 51.64 Kg, PitStop: No, LapTime: 01:12.298 (hh:)mm:ss.ms
Lap 37/70 -> Compound: 'Medium', TyreAge: 11 Laps, TyreWear: FL:13.0% FR:12.0% RL:14.0 RR:13.0%, FuelLoad: 50.17 Kg, PitStop: No, LapTime: 01:12.320 (hh:)mm:ss.ms
Lap 38/70 -> Compound: 'Medium', TyreAge: 12 Laps, TyreWear: FL:15.0% FR:13.0% RL:15.0 RR:14.0%, FuelLoad: 48.69 Kg, PitStop: No, LapTime: 01:12.366 (hh:)mm:ss.ms
Lap 39/70 -> Compound: 'Medium', TyreAge: 13 Laps, TyreWear: FL:16.0% FR:14.0% RL:17.0 RR:16.0%, FuelLoad: 47.22 Kg, PitStop: No, LapTime: 01:12.440 (hh:)mm:ss.ms
Lap 40/70 -> Compound: 'Medium', TyreAge: 14 Laps, TyreWear: FL:17.0% FR:15.0% RL:18.0 RR:17.0%, FuelLoad: 45.74 Kg, PitStop: No, LapTime: 01:12.464 (hh:)mm:ss.ms
Lap 41/70 -> Compound: 'Medium', TyreAge: 15 Laps, TyreWear: FL:18.0% FR:16.0% RL:19.0 RR:18.0%, FuelLoad: 44.26 Kg, PitStop: No, LapTime: 01:12.488 (hh:)mm:ss.ms
Lap 42/70 -> Compound: 'Medium', TyreAge: 16 Laps, TyreWear: FL:19.0% FR:17.0% RL:20.0 RR:19.0%, FuelLoad: 42.79 Kg, PitStop: No, LapTime: 01:12.514 (hh:)mm:ss.ms
Lap 43/70 -> Compound: 'Medium', TyreAge: 17 Laps, TyreWear: FL:21.0% FR:18.0% RL:22.0 RR:21.0%, FuelLoad: 41.31 Kg, PitStop: No, LapTime: 01:12.622 (hh:)mm:ss.ms
Lap 44/70 -> Compound: 'Medium', TyreAge: 18 Laps, TyreWear: FL:22.0% FR:20.0% RL:23.0 RR:22.0%, FuelLoad: 39.84 Kg, PitStop: No, LapTime: 01:12.680 (hh:)mm:ss.ms
Lap 45/70 -> Compound: 'Medium', TyreAge: 19 Laps, TyreWear: FL:23.0% FR:21.0% RL:24.0 RR:23.0%, FuelLoad: 38.36 Kg, PitStop: No, LapTime: 01:12.708 (hh:)mm:ss.ms
Lap 46/70 -> Compound: 'Medium', TyreAge: 20 Laps, TyreWear: FL:24.0% FR:22.0% RL:25.0 RR:24.0%, FuelLoad: 36.89 Kg, PitStop: No, LapTime: 01:12.742 (hh:)mm:ss.ms
Lap 47/70 -> Compound: 'Medium', TyreAge: 21 Laps, TyreWear: FL:25.0% FR:23.0% RL:27.0 RR:25.0%, FuelLoad: 35.41 Kg, PitStop: No, LapTime: 01:12.802 (hh:)mm:ss.ms
Lap 48/70 -> Compound: 'Medium', TyreAge: 22 Laps, TyreWear: FL:27.0% FR:24.0% RL:28.0 RR:27.0%, FuelLoad: 33.94 Kg, PitStop: No, LapTime: 01:12.898 (hh:)mm:ss.ms
Lap 49/70 -> Compound: 'Medium', TyreAge: 23 Laps, TyreWear: FL:28.0% FR:25.0% RL:29.0 RR:28.0%, FuelLoad: 32.46 Kg, PitStop: No, LapTime: 01:12.934 (hh:)mm:ss.ms
Lap 50/70 -> Compound: 'Medium', TyreAge: 24 Laps, TyreWear: FL:29.0% FR:26.0% RL:31.0 RR:29.0%, FuelLoad: 30.99 Kg, PitStop: No, LapTime: 01:13.004 (hh:)mm:ss.ms
Lap 51/70 -> Compound: 'Soft', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 29.51 Kg, PitStop: Yes, LapTime: 01:33.442 (hh:)mm:ss.ms
Lap 52/70 -> Compound: 'Soft', TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0 RR:2.0%, FuelLoad: 28.03 Kg, PitStop: No, LapTime: 01:09.521 (hh:)mm:ss.ms
Lap 53/70 -> Compound: 'Soft', TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:4.0 RR:4.0%, FuelLoad: 26.56 Kg, PitStop: No, LapTime: 01:09.602 (hh:)mm:ss.ms
Lap 54/70 -> Compound: 'Soft', TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0 RR:6.0%, FuelLoad: 25.08 Kg, PitStop: No, LapTime: 01:09.662 (hh:)mm:ss.ms
Lap 55/70 -> Compound: 'Soft', TyreAge: 4 Laps, TyreWear: FL:8.0% FR:7.0% RL:8.0 RR:8.0%, FuelLoad: 23.61 Kg, PitStop: No, LapTime: 01:09.744 (hh:)mm:ss.ms
Lap 56/70 -> Compound: 'Soft', TyreAge: 5 Laps, TyreWear: FL:10.0% FR:9.0% RL:10.0 RR:10.0%, FuelLoad: 22.13 Kg, PitStop: No, LapTime: 01:09.828 (hh:)mm:ss.ms
Lap 57/70 -> Compound: 'Soft', TyreAge: 6 Laps, TyreWear: FL:12.0% FR:11.0% RL:12.0 RR:12.0%, FuelLoad: 20.66 Kg, PitStop: No, LapTime: 01:09.913 (hh:)mm:ss.ms
Lap 58/70 -> Compound: 'Soft', TyreAge: 7 Laps, TyreWear: FL:14.0% FR:12.0% RL:14.0 RR:14.0%, FuelLoad: 19.18 Kg, PitStop: No, LapTime: 01:09.979 (hh:)mm:ss.ms
Lap 59/70 -> Compound: 'Soft', TyreAge: 8 Laps, TyreWear: FL:16.0% FR:14.0% RL:16.0 RR:15.0%, FuelLoad: 17.71 Kg, PitStop: No, LapTime: 01:10.048 (hh:)mm:ss.ms
Lap 60/70 -> Compound: 'Soft', TyreAge: 9 Laps, TyreWear: FL:17.0% FR:16.0% RL:18.0 RR:17.0%, FuelLoad: 16.23 Kg, PitStop: No, LapTime: 01:10.120 (hh:)mm:ss.ms
Lap 61/70 -> Compound: 'Soft', TyreAge: 10 Laps, TyreWear: FL:19.0% FR:18.0% RL:20.0 RR:19.0%, FuelLoad: 14.75 Kg, PitStop: No, LapTime: 01:10.215 (hh:)mm:ss.ms
Lap 62/70 -> Compound: 'Soft', TyreAge: 11 Laps, TyreWear: FL:21.0% FR:19.0% RL:23.0 RR:21.0%, FuelLoad: 13.28 Kg, PitStop: No, LapTime: 01:10.315 (hh:)mm:ss.ms
Lap 63/70 -> Compound: 'Soft', TyreAge: 12 Laps, TyreWear: FL:23.0% FR:21.0% RL:25.0 RR:23.0%, FuelLoad: 11.8 Kg, PitStop: No, LapTime: 01:10.418 (hh:)mm:ss.ms
Lap 64/70 -> Compound: 'Soft', TyreAge: 13 Laps, TyreWear: FL:25.0% FR:23.0% RL:27.0 RR:25.0%, FuelLoad: 10.33 Kg, PitStop: No, LapTime: 01:10.527 (hh:)mm:ss.ms
Lap 65/70 -> Compound: 'Soft', TyreAge: 14 Laps, TyreWear: FL:27.0% FR:25.0% RL:29.0 RR:27.0%, FuelLoad: 8.85 Kg, PitStop: No, LapTime: 01:10.640 (hh:)mm:ss.ms
Lap 66/70 -> Compound: 'Soft', TyreAge: 15 Laps, TyreWear: FL:29.0% FR:26.0% RL:31.0 RR:29.0%, FuelLoad: 7.38 Kg, PitStop: No, LapTime: 01:10.734 (hh:)mm:ss.ms
Lap 67/70 -> Compound: 'Soft', TyreAge: 16 Laps, TyreWear: FL:31.0% FR:28.0% RL:33.0 RR:31.0%, FuelLoad: 5.9 Kg, PitStop: No, LapTime: 01:10.855 (hh:)mm:ss.ms
Lap 68/70 -> Compound: 'Soft', TyreAge: 17 Laps, TyreWear: FL:33.0% FR:30.0% RL:35.0 RR:33.0%, FuelLoad: 4.43 Kg, PitStop: No, LapTime: 01:10.987 (hh:)mm:ss.ms
Lap 69/70 -> Compound: 'Soft', TyreAge: 18 Laps, TyreWear: FL:35.0% FR:32.0% RL:37.0 RR:35.0%, FuelLoad: 2.95 Kg, PitStop: No, LapTime: 01:11.122 (hh:)mm:ss.ms
Lap 70/70 -> Compound: 'Soft', TyreAge: 19 Laps, TyreWear: FL:37.0% FR:33.0% RL:39.0 RR:37.0%, FuelLoad: 1.48 Kg, PitStop: No, LapTime: 01:11.236 (hh:)mm:ss.ms

Fitness: 5 126 822
Total time: 01:25:26.822
