Lap 1/70 -> Compound: 'Medium', TyresAge: 0 Laps, TyresWear: {'FL': 0.0, 'FR': 0.0, 'RL': 0.0, 'RR': 0.0}, FuelLoad: 103.29 Kg, PitStop: No, LapTime: 01:16.175 (hh:)mm:ss.ms
Lap 33/70 -> Compound: 'Medium', TyresAge: 12 Laps, TyresWear: {'FL': 0.15, 'FR': 0.13, 'RL': 0.15, 'RR': 0.14}, FuelLoad: 56.07 Kg, PitStop: No, LapTime: 01:12.746 (hh:)mm:ss.ms
Lap 34/70 -> Compound: 'Medium', TyresAge: 13 Laps, TyresWear: {'FL': 0.16, 'FR': 0.14, 'RL': 0.17, 'RR': 0.16}, FuelLoad: 54.6 Kg, PitStop: No, LapTime: 01:12.815 (hh:)mm:ss.ms
Lap 35/70 -> Compound: 'Medium', TyresAge: 14 Laps, TyresWear: {'FL': 0.17, 'FR': 0.15, 'RL': 0.18, 'RR': 0.17}, FuelLoad: 53.12 Kg, PitStop: No, LapTime: 01:12.832 (hh:)mm:ss.ms
Lap 36/70 -> Compound: 'Medium', TyresAge: 15 Laps, TyresWear: {'FL': 0.18, 'FR': 0.16, 'RL': 0.19, 'RR': 0.18}, FuelLoad: 51.65 Kg, PitStop: No, LapTime: 01:12.849 (hh:)mm:ss.ms
Lap 37/70 -> Compound: 'Medium', TyresAge: 16 Laps, TyresWear: {'FL': 0.19, 'FR': 0.17, 'RL': 0.2, 'RR': 0.19}, FuelLoad: 50.17 Kg, PitStop: No, LapTime: 01:12.867 (hh:)mm:ss.ms
Lap 38/70 -> Compound: 'Medium', TyresAge: 17 Laps, TyresWear: {'FL': 0.21, 'FR': 0.18, 'RL': 0.22, 'RR': 0.21}, FuelLoad: 48.7 Kg, PitStop: No, LapTime: 01:12.972 (hh:)mm:ss.ms
Lap 39/70 -> Compound: 'Medium', TyresAge: 18 Laps, TyresWear: {'FL': 0.22, 'FR': 0.2, 'RL': 0.23, 'RR': 0.22}, FuelLoad: 47.22 Kg, PitStop: No, LapTime: 01:13.021 (hh:)mm:ss.ms
Lap 40/70 -> Compound: 'Medium', TyresAge: 19 Laps, TyresWear: {'FL': 0.23, 'FR': 0.21, 'RL': 0.24, 'RR': 0.23}, FuelLoad: 45.74 Kg, PitStop: No, LapTime: 01:13.043 (hh:)mm:ss.ms
Lap 41/70 -> Compound: 'Medium', TyresAge: 20 Laps, TyresWear: {'FL': 0.24, 'FR': 0.22, 'RL': 0.25, 'RR': 0.24}, FuelLoad: 44.27 Kg, PitStop: No, LapTime: 01:13.070 (hh:)mm:ss.ms
Lap 42/70 -> Compound: 'Hard', TyresAge: 0 Laps, TyresWear: {'FL': 0.0, 'FR': 0.0, 'RL': 0.0, 'RR': 0.0}, FuelLoad: 42.79 Kg, PitStop: Yes, LapTime: 01:35.485 (hh:)mm:ss.ms
Lap 43/70 -> Compound: 'Hard', TyresAge: 1 Laps, TyresWear: {'FL': 0.01, 'FR': 0.01, 'RL': 0.01, 'RR': 0.01}, FuelLoad: 41.32 Kg, PitStop: No, LapTime: 01:11.443 (hh:)mm:ss.ms
Lap 44/70 -> Compound: 'Hard', TyresAge: 2 Laps, TyresWear: {'FL': 0.02, 'FR': 0.02, 'RL': 0.02, 'RR': 0.02}, FuelLoad: 39.84 Kg, PitStop: No, LapTime: 01:11.401 (hh:)mm:ss.ms
Lap 45/70 -> Compound: 'Hard', TyresAge: 3 Laps, TyresWear: {'FL': 0.03, 'FR': 0.03, 'RL': 0.03, 'RR': 0.03}, FuelLoad: 38.37 Kg, PitStop: No, LapTime: 01:11.360 (hh:)mm:ss.ms
Lap 46/70 -> Compound: 'Hard', TyresAge: 4 Laps, TyresWear: {'FL': 0.04, 'FR': 0.04, 'RL': 0.04, 'RR': 0.04}, FuelLoad: 36.89 Kg, PitStop: No, LapTime: 01:11.319 (hh:)mm:ss.ms
Lap 47/70 -> Compound: 'Hard', TyresAge: 5 Laps, TyresWear: {'FL': 0.05, 'FR': 0.05, 'RL': 0.05, 'RR': 0.05}, FuelLoad: 35.42 Kg, PitStop: No, LapTime: 01:11.277 (hh:)mm:ss.ms
Lap 48/70 -> Compound: 'Hard', TyresAge: 6 Laps, TyresWear: {'FL': 0.06, 'FR': 0.05, 'RL': 0.06, 'RR': 0.06}, FuelLoad: 33.94 Kg, PitStop: No, LapTime: 01:11.223 (hh:)mm:ss.ms
Lap 49/70 -> Compound: 'Hard', TyresAge: 7 Laps, TyresWear: {'FL': 0.07, 'FR': 0.06, 'RL': 0.07, 'RR': 0.07}, FuelLoad: 32.47 Kg, PitStop: No, LapTime: 01:11.181 (hh:)mm:ss.ms
Lap 50/70 -> Compound: 'Hard', TyresAge: 8 Laps, TyresWear: {'FL': 0.08, 'FR': 0.07, 'RL': 0.08, 'RR': 0.08}, FuelLoad: 30.99 Kg, PitStop: No, LapTime: 01:11.141 (hh:)mm:ss.ms
Lap 51/70 -> Compound: 'Hard', TyresAge: 9 Laps, TyresWear: {'FL': 0.09, 'FR': 0.08, 'RL': 0.09, 'RR': 0.09}, FuelLoad: 29.51 Kg, PitStop: No, LapTime: 01:11.100 (hh:)mm:ss.ms
Lap 52/70 -> Compound: 'Hard', TyresAge: 10 Laps, TyresWear: {'FL': 0.1, 'FR': 0.09, 'RL': 0.1, 'RR': 0.1}, FuelLoad: 28.04 Kg, PitStop: No, LapTime: 01:11.060 (hh:)mm:ss.ms
Lap 53/70 -> Compound: 'Hard', TyresAge: 11 Laps, TyresWear: {'FL': 0.11, 'FR': 0.1, 'RL': 0.11, 'RR': 0.1}, FuelLoad: 26.56 Kg, PitStop: No, LapTime: 01:11.006 (hh:)mm:ss.ms
Lap 54/70 -> Compound: 'Hard', TyresAge: 12 Laps, TyresWear: {'FL': 0.12, 'FR': 0.11, 'RL': 0.12, 'RR': 0.11}, FuelLoad: 25.09 Kg, PitStop: No, LapTime: 01:10.967 (hh:)mm:ss.ms
Lap 55/70 -> Compound: 'Hard', TyresAge: 13 Laps, TyresWear: {'FL': 0.13, 'FR': 0.12, 'RL': 0.13, 'RR': 0.12}, FuelLoad: 23.61 Kg, PitStop: No, LapTime: 01:10.926 (hh:)mm:ss.ms
Lap 56/70 -> Compound: 'Hard', TyresAge: 14 Laps, TyresWear: {'FL': 0.14, 'FR': 0.13, 'RL': 0.14, 'RR': 0.13}, FuelLoad: 22.14 Kg, PitStop: No, LapTime: 01:10.887 (hh:)mm:ss.ms
Lap 57/70 -> Compound: 'Hard', TyresAge: 15 Laps, TyresWear: {'FL': 0.15, 'FR': 0.14, 'RL': 0.15, 'RR': 0.14}, FuelLoad: 20.66 Kg, PitStop: No, LapTime: 01:10.848 (hh:)mm:ss.ms
Lap 58/70 -> Compound: 'Hard', TyresAge: 16 Laps, TyresWear: {'FL': 0.16, 'FR': 0.14, 'RL': 0.16, 'RR': 0.15}, FuelLoad: 19.19 Kg, PitStop: No, LapTime: 01:10.797 (hh:)mm:ss.ms
Lap 59/70 -> Compound: 'Hard', TyresAge: 17 Laps, TyresWear: {'FL': 0.17, 'FR': 0.15, 'RL': 0.17, 'RR': 0.16}, FuelLoad: 17.71 Kg, PitStop: No, LapTime: 01:10.759 (hh:)mm:ss.ms
Lap 60/70 -> Compound: 'Hard', TyresAge: 18 Laps, TyresWear: {'FL': 0.18, 'FR': 0.16, 'RL': 0.18, 'RR': 0.17}, FuelLoad: 16.23 Kg, PitStop: No, LapTime: 01:10.721 (hh:)mm:ss.ms
Lap 61/70 -> Compound: 'Hard', TyresAge: 19 Laps, TyresWear: {'FL': 0.19, 'FR': 0.17, 'RL': 0.19, 'RR': 0.18}, FuelLoad: 14.76 Kg, PitStop: No, LapTime: 01:10.684 (hh:)mm:ss.ms
Lap 62/70 -> Compound: 'Hard', TyresAge: 20 Laps, TyresWear: {'FL': 0.2, 'FR': 0.18, 'RL': 0.2, 'RR': 0.19}, FuelLoad: 13.28 Kg, PitStop: No, LapTime: 01:10.648 (hh:)mm:ss.ms
Lap 63/70 -> Compound: 'Hard', TyresAge: 21 Laps, TyresWear: {'FL': 0.21, 'FR': 0.19, 'RL': 0.21, 'RR': 0.2}, FuelLoad: 11.81 Kg, PitStop: No, LapTime: 01:10.612 (hh:)mm:ss.ms
Lap 64/70 -> Compound: 'Hard', TyresAge: 22 Laps, TyresWear: {'FL': 0.22, 'FR': 0.2, 'RL': 0.22, 'RR': 0.21}, FuelLoad: 10.33 Kg, PitStop: No, LapTime: 01:10.577 (hh:)mm:ss.ms
Lap 65/70 -> Compound: 'Hard', TyresAge: 23 Laps, TyresWear: {'FL': 0.23, 'FR': 0.21, 'RL': 0.23, 'RR': 0.22}, FuelLoad: 8.86 Kg, PitStop: No, LapTime: 01:10.541 (hh:)mm:ss.ms
Lap 66/70 -> Compound: 'Hard', TyresAge: 24 Laps, TyresWear: {'FL': 0.24, 'FR': 0.22, 'RL': 0.24, 'RR': 0.23}, FuelLoad: 7.38 Kg, PitStop: No, LapTime: 01:10.507 (hh:)mm:ss.ms
Lap 67/70 -> Compound: 'Hard', TyresAge: 25 Laps, TyresWear: {'FL': 0.25, 'FR': 0.23, 'RL': 0.25, 'RR': 0.24}, FuelLoad: 5.91 Kg, PitStop: No, LapTime: 01:10.474 (hh:)mm:ss.ms
Lap 68/70 -> Compound: 'Hard', TyresAge: 26 Laps, TyresWear: {'FL': 0.26, 'FR': 0.23, 'RL': 0.26, 'RR': 0.25}, FuelLoad: 4.43 Kg, PitStop: No, LapTime: 01:10.427 (hh:)mm:ss.ms
Lap 69/70 -> Compound: 'Hard', TyresAge: 27 Laps, TyresWear: {'FL': 0.27, 'FR': 0.24, 'RL': 0.27, 'RR': 0.26}, FuelLoad: 2.96 Kg, PitStop: No, LapTime: 01:10.394 (hh:)mm:ss.ms
Lap 70/70 -> Compound: 'Hard', TyresAge: 28 Laps, TyresWear: {'FL': 0.28, 'FR': 0.25, 'RL': 0.28, 'RR': 0.27}, FuelLoad: 1.48 Kg, PitStop: No, LapTime: 01:10.364 (hh:)mm:ss.ms

Fitness: 5 123 192
Total time: 01:25:23.192
