Best Strategy fitness: 4968368
Best Strategy time: 01:22:48.368

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '111.31' Kg, PitStop 'No', Time '01:28.206' ms
Lap 39: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '39.54' Kg, PitStop 'No', Time '01:22.140' ms
Lap 40: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '37.65' Kg, PitStop 'Yes', Time '01:46.242' ms
Lap 41: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '35.77' Kg, PitStop 'No', Time '01:21.182' ms
Lap 42: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '33.88' Kg, PitStop 'No', Time '01:21.176' ms
Lap 43: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '31.99' Kg, PitStop 'No', Time '01:21.186' ms
Lap 44: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '30.1' Kg, PitStop 'Yes', Time '01:46.334' ms
Lap 45: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '28.21' Kg, PitStop 'No', Time '01:21.300' ms
Lap 46: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '26.32' Kg, PitStop 'Yes', Time '01:46.106' ms
Lap 47: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '24.43' Kg, PitStop 'No', Time '01:21.074' ms
Lap 48: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '22.55' Kg, PitStop 'Yes', Time '01:45.880' ms
Lap 49: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '20.66' Kg, PitStop 'Yes', Time '01:45.766' ms
Lap 50: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '18.77' Kg, PitStop 'Yes', Time '01:45.654' ms
Lap 51: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '16.88' Kg, PitStop 'No', Time '01:20.620' ms
Lap 52: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '14.99' Kg, PitStop 'No', Time '01:20.586' ms
Lap 53: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '13.1' Kg, PitStop 'Yes', Time '01:45.314' ms
