Local Search Strategy:
Lap 1/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 101.06 Kg, PitStop: No, LapTime: 01:27.898 (hh:)mm:ss.ms
Lap 22/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 61.4 Kg, PitStop: No, LapTime: 01:23.028 (hh:)mm:ss.ms
Lap 23/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 59.51 Kg, PitStop: No, LapTime: 01:23.022 (hh:)mm:ss.ms
Lap 24/53 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 57.62 Kg, PitStop: No, LapTime: 01:23.032 (hh:)mm:ss.ms
Lap 25/53 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:10.0% FR:9.0% RL:8.0% RR:6.0%, FuelLoad: 55.73 Kg, PitStop: No, LapTime: 01:23.028 (hh:)mm:ss.ms
Lap 26/53 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:12.0% FR:11.0% RL:9.0% RR:8.0%, FuelLoad: 53.84 Kg, PitStop: No, LapTime: 01:23.012 (hh:)mm:ss.ms
Lap 27/53 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:15.0% FR:13.0% RL:11.0% RR:9.0%, FuelLoad: 51.96 Kg, PitStop: No, LapTime: 01:23.012 (hh:)mm:ss.ms
Lap 28/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 50.07 Kg, PitStop: Yes, LapTime: 01:47.238 (hh:)mm:ss.ms
Lap 29/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 48.18 Kg, PitStop: No, LapTime: 01:22.234 (hh:)mm:ss.ms
Lap 30/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 46.29 Kg, PitStop: No, LapTime: 01:22.230 (hh:)mm:ss.ms
Lap 31/53 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 44.4 Kg, PitStop: No, LapTime: 01:22.238 (hh:)mm:ss.ms
Lap 32/53 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:10.0% FR:9.0% RL:8.0% RR:6.0%, FuelLoad: 42.51 Kg, PitStop: No, LapTime: 01:22.234 (hh:)mm:ss.ms
Lap 33/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 40.62 Kg, PitStop: Yes, LapTime: 01:47.272 (hh:)mm:ss.ms
Lap 34/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 38.74 Kg, PitStop: Yes, LapTime: 01:46.558 (hh:)mm:ss.ms
Lap 35/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 36.85 Kg, PitStop: No, LapTime: 01:21.554 (hh:)mm:ss.ms
Lap 36/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 34.96 Kg, PitStop: No, LapTime: 01:21.550 (hh:)mm:ss.ms
Lap 37/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 33.07 Kg, PitStop: Yes, LapTime: 01:46.218 (hh:)mm:ss.ms
Lap 38/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 31.18 Kg, PitStop: Yes, LapTime: 01:46.106 (hh:)mm:ss.ms
Lap 39/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 29.29 Kg, PitStop: Yes, LapTime: 01:45.992 (hh:)mm:ss.ms
Lap 40/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 27.4 Kg, PitStop: Yes, LapTime: 01:45.878 (hh:)mm:ss.ms
Lap 41/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 25.52 Kg, PitStop: No, LapTime: 01:20.874 (hh:)mm:ss.ms
Lap 42/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 23.63 Kg, PitStop: Yes, LapTime: 01:46.252 (hh:)mm:ss.ms
Lap 43/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 21.74 Kg, PitStop: No, LapTime: 01:21.220 (hh:)mm:ss.ms
Lap 44/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 19.85 Kg, PitStop: No, LapTime: 01:21.186 (hh:)mm:ss.ms
Lap 45/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 17.96 Kg, PitStop: Yes, LapTime: 01:45.912 (hh:)mm:ss.ms
Lap 46/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 16.07 Kg, PitStop: No, LapTime: 01:20.878 (hh:)mm:ss.ms
Lap 47/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 14.18 Kg, PitStop: No, LapTime: 01:20.846 (hh:)mm:ss.ms
Lap 48/53 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0% RR:4.0%, FuelLoad: 12.3 Kg, PitStop: No, LapTime: 01:20.812 (hh:)mm:ss.ms
Lap 49/53 -> Compound: 'Medium' TyreAge: 4 Laps, TyreWear: FL:8.0% FR:8.0% RL:7.0% RR:6.0%, FuelLoad: 10.41 Kg, PitStop: No, LapTime: 01:20.794 (hh:)mm:ss.ms
Lap 50/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 8.52 Kg, PitStop: Yes, LapTime: 01:45.346 (hh:)mm:ss.ms
Lap 51/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 6.63 Kg, PitStop: Yes, LapTime: 01:52.293 (hh:)mm:ss.ms
Lap 52/53 -> Compound: 'Inter' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 4.74 Kg, PitStop: No, LapTime: 01:27.202 (hh:)mm:ss.ms
Lap 53/53 -> Compound: 'Inter' TyreAge: 2 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 2.85 Kg, PitStop: No, LapTime: 01:27.110 (hh:)mm:ss.ms

Local Search Timing: 01:20:09.995
