Lap 1/71 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 103.82 Kg, PitStop: No, LapTime: 01:11.208 (hh:)mm:ss.ms
Lap 20/71 -> Compound: 'Medium', TyreAge: 19 Laps, TyreWear: FL:28.0% FR:27.0% RL:24.0 RR:21.0%, FuelLoad: 76.04 Kg, PitStop: No, LapTime: 01:08.601 (hh:)mm:ss.ms
Lap 21/71 -> Compound: 'Medium', TyreAge: 20 Laps, TyreWear: FL:30.0% FR:29.0% RL:25.0 RR:22.0%, FuelLoad: 74.58 Kg, PitStop: No, LapTime: 01:08.580 (hh:)mm:ss.ms
Lap 22/71 -> Compound: 'Medium', TyreAge: 21 Laps, TyreWear: FL:31.0% FR:30.0% RL:26.0 RR:24.0%, FuelLoad: 73.11 Kg, PitStop: No, LapTime: 01:08.552 (hh:)mm:ss.ms
Lap 23/71 -> Compound: 'Medium', TyreAge: 22 Laps, TyreWear: FL:33.0% FR:31.0% RL:27.0 RR:25.0%, FuelLoad: 71.65 Kg, PitStop: No, LapTime: 01:08.523 (hh:)mm:ss.ms
Lap 24/71 -> Compound: 'Medium', TyreAge: 23 Laps, TyreWear: FL:34.0% FR:33.0% RL:29.0 RR:26.0%, FuelLoad: 70.19 Kg, PitStop: No, LapTime: 01:08.507 (hh:)mm:ss.ms
Lap 25/71 -> Compound: 'Medium', TyreAge: 24 Laps, TyreWear: FL:36.0% FR:34.0% RL:30.0 RR:27.0%, FuelLoad: 68.73 Kg, PitStop: No, LapTime: 01:08.480 (hh:)mm:ss.ms
Lap 26/71 -> Compound: 'Medium', TyreAge: 25 Laps, TyreWear: FL:37.0% FR:36.0% RL:31.0 RR:28.0%, FuelLoad: 67.26 Kg, PitStop: No, LapTime: 01:08.455 (hh:)mm:ss.ms
Lap 27/71 -> Compound: 'Medium', TyreAge: 26 Laps, TyreWear: FL:39.0% FR:37.0% RL:32.0 RR:29.0%, FuelLoad: 65.8 Kg, PitStop: No, LapTime: 01:08.432 (hh:)mm:ss.ms
Lap 28/71 -> Compound: 'Soft', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 64.34 Kg, PitStop: Yes, LapTime: 01:27.270 (hh:)mm:ss.ms
Lap 29/71 -> Compound: 'Soft', TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0 RR:1.0%, FuelLoad: 62.88 Kg, PitStop: No, LapTime: 01:06.296 (hh:)mm:ss.ms
Lap 30/71 -> Compound: 'Soft', TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0 RR:3.0%, FuelLoad: 61.42 Kg, PitStop: No, LapTime: 01:06.324 (hh:)mm:ss.ms
Lap 31/71 -> Compound: 'Soft', TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0 RR:4.0%, FuelLoad: 59.95 Kg, PitStop: No, LapTime: 01:06.350 (hh:)mm:ss.ms
Lap 32/71 -> Compound: 'Soft', TyreAge: 4 Laps, TyreWear: FL:9.0% FR:8.0% RL:6.0 RR:6.0%, FuelLoad: 58.49 Kg, PitStop: No, LapTime: 01:06.392 (hh:)mm:ss.ms
Lap 33/71 -> Compound: 'Soft', TyreAge: 5 Laps, TyreWear: FL:11.0% FR:11.0% RL:8.0 RR:7.0%, FuelLoad: 57.03 Kg, PitStop: No, LapTime: 01:06.438 (hh:)mm:ss.ms
Lap 34/71 -> Compound: 'Soft', TyreAge: 6 Laps, TyreWear: FL:13.0% FR:13.0% RL:9.0 RR:8.0%, FuelLoad: 55.57 Kg, PitStop: No, LapTime: 01:06.452 (hh:)mm:ss.ms
Lap 35/71 -> Compound: 'Soft', TyreAge: 7 Laps, TyreWear: FL:15.0% FR:15.0% RL:11.0 RR:10.0%, FuelLoad: 54.1 Kg, PitStop: No, LapTime: 01:06.500 (hh:)mm:ss.ms
Lap 36/71 -> Compound: 'Soft', TyreAge: 8 Laps, TyreWear: FL:17.0% FR:17.0% RL:12.0 RR:11.0%, FuelLoad: 52.64 Kg, PitStop: No, LapTime: 01:06.518 (hh:)mm:ss.ms
Lap 37/71 -> Compound: 'Soft', TyreAge: 9 Laps, TyreWear: FL:19.0% FR:19.0% RL:14.0 RR:12.0%, FuelLoad: 51.18 Kg, PitStop: No, LapTime: 01:06.550 (hh:)mm:ss.ms
Lap 38/71 -> Compound: 'Soft', TyreAge: 10 Laps, TyreWear: FL:22.0% FR:21.0% RL:15.0 RR:14.0%, FuelLoad: 49.72 Kg, PitStop: No, LapTime: 01:06.606 (hh:)mm:ss.ms
Lap 39/71 -> Compound: 'Soft', TyreAge: 11 Laps, TyreWear: FL:24.0% FR:23.0% RL:17.0 RR:15.0%, FuelLoad: 48.26 Kg, PitStop: No, LapTime: 01:06.644 (hh:)mm:ss.ms
Lap 40/71 -> Compound: 'Soft', TyreAge: 12 Laps, TyreWear: FL:26.0% FR:25.0% RL:19.0 RR:17.0%, FuelLoad: 46.79 Kg, PitStop: No, LapTime: 01:06.704 (hh:)mm:ss.ms
Lap 41/71 -> Compound: 'Soft', TyreAge: 13 Laps, TyreWear: FL:28.0% FR:27.0% RL:20.0 RR:18.0%, FuelLoad: 45.33 Kg, PitStop: No, LapTime: 01:06.730 (hh:)mm:ss.ms
Lap 42/71 -> Compound: 'Soft', TyreAge: 14 Laps, TyreWear: FL:30.0% FR:30.0% RL:22.0 RR:19.0%, FuelLoad: 43.87 Kg, PitStop: No, LapTime: 01:06.796 (hh:)mm:ss.ms
Lap 43/71 -> Compound: 'Soft', TyreAge: 15 Laps, TyreWear: FL:32.0% FR:32.0% RL:23.0 RR:21.0%, FuelLoad: 42.41 Kg, PitStop: No, LapTime: 01:06.848 (hh:)mm:ss.ms
Lap 44/71 -> Compound: 'Soft', TyreAge: 16 Laps, TyreWear: FL:35.0% FR:34.0% RL:25.0 RR:22.0%, FuelLoad: 40.94 Kg, PitStop: No, LapTime: 01:06.922 (hh:)mm:ss.ms
Lap 45/71 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 39.48 Kg, PitStop: Yes, LapTime: 01:26.646 (hh:)mm:ss.ms
Lap 46/71 -> Compound: 'Medium', TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0 RR:1.0%, FuelLoad: 38.02 Kg, PitStop: No, LapTime: 01:05.598 (hh:)mm:ss.ms
Lap 47/71 -> Compound: 'Medium', TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0 RR:2.0%, FuelLoad: 36.56 Kg, PitStop: No, LapTime: 01:05.567 (hh:)mm:ss.ms
Lap 48/71 -> Compound: 'Medium', TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:4.0 RR:3.0%, FuelLoad: 35.09 Kg, PitStop: No, LapTime: 01:05.528 (hh:)mm:ss.ms
Lap 49/71 -> Compound: 'Medium', TyreAge: 4 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0 RR:4.0%, FuelLoad: 33.63 Kg, PitStop: No, LapTime: 01:05.498 (hh:)mm:ss.ms
Lap 50/71 -> Compound: 'Medium', TyreAge: 5 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0 RR:6.0%, FuelLoad: 32.17 Kg, PitStop: No, LapTime: 01:05.461 (hh:)mm:ss.ms
Lap 51/71 -> Compound: 'Medium', TyreAge: 6 Laps, TyreWear: FL:9.0% FR:9.0% RL:7.0 RR:7.0%, FuelLoad: 30.71 Kg, PitStop: No, LapTime: 01:05.430 (hh:)mm:ss.ms
Lap 52/71 -> Compound: 'Medium', TyreAge: 7 Laps, TyreWear: FL:10.0% FR:10.0% RL:9.0 RR:8.0%, FuelLoad: 29.25 Kg, PitStop: No, LapTime: 01:05.391 (hh:)mm:ss.ms
Lap 53/71 -> Compound: 'Medium', TyreAge: 8 Laps, TyreWear: FL:12.0% FR:11.0% RL:10.0 RR:9.0%, FuelLoad: 27.78 Kg, PitStop: No, LapTime: 01:05.353 (hh:)mm:ss.ms
Lap 54/71 -> Compound: 'Medium', TyreAge: 9 Laps, TyreWear: FL:13.0% FR:13.0% RL:11.0 RR:10.0%, FuelLoad: 26.32 Kg, PitStop: No, LapTime: 01:05.315 (hh:)mm:ss.ms
Lap 55/71 -> Compound: 'Medium', TyreAge: 10 Laps, TyreWear: FL:15.0% FR:14.0% RL:12.0 RR:11.0%, FuelLoad: 24.86 Kg, PitStop: No, LapTime: 01:05.279 (hh:)mm:ss.ms
Lap 56/71 -> Compound: 'Medium', TyreAge: 11 Laps, TyreWear: FL:16.0% FR:16.0% RL:14.0 RR:12.0%, FuelLoad: 23.4 Kg, PitStop: No, LapTime: 01:05.251 (hh:)mm:ss.ms
Lap 57/71 -> Compound: 'Medium', TyreAge: 12 Laps, TyreWear: FL:18.0% FR:17.0% RL:15.0 RR:13.0%, FuelLoad: 21.93 Kg, PitStop: No, LapTime: 01:05.214 (hh:)mm:ss.ms
Lap 58/71 -> Compound: 'Medium', TyreAge: 13 Laps, TyreWear: FL:19.0% FR:19.0% RL:16.0 RR:15.0%, FuelLoad: 20.47 Kg, PitStop: No, LapTime: 01:05.188 (hh:)mm:ss.ms
Lap 59/71 -> Compound: 'Medium', TyreAge: 14 Laps, TyreWear: FL:21.0% FR:20.0% RL:17.0 RR:16.0%, FuelLoad: 19.01 Kg, PitStop: No, LapTime: 01:05.153 (hh:)mm:ss.ms
Lap 60/71 -> Compound: 'Medium', TyreAge: 15 Laps, TyreWear: FL:22.0% FR:21.0% RL:19.0 RR:17.0%, FuelLoad: 17.55 Kg, PitStop: No, LapTime: 01:05.119 (hh:)mm:ss.ms
Lap 61/71 -> Compound: 'Medium', TyreAge: 16 Laps, TyreWear: FL:24.0% FR:23.0% RL:20.0 RR:18.0%, FuelLoad: 16.09 Kg, PitStop: No, LapTime: 01:05.095 (hh:)mm:ss.ms
Lap 62/71 -> Compound: 'Medium', TyreAge: 17 Laps, TyreWear: FL:25.0% FR:24.0% RL:21.0 RR:19.0%, FuelLoad: 14.62 Kg, PitStop: No, LapTime: 01:05.052 (hh:)mm:ss.ms
Lap 63/71 -> Compound: 'Medium', TyreAge: 18 Laps, TyreWear: FL:27.0% FR:26.0% RL:22.0 RR:20.0%, FuelLoad: 13.16 Kg, PitStop: No, LapTime: 01:05.030 (hh:)mm:ss.ms
Lap 64/71 -> Compound: 'Medium', TyreAge: 19 Laps, TyreWear: FL:28.0% FR:27.0% RL:24.0 RR:21.0%, FuelLoad: 11.7 Kg, PitStop: No, LapTime: 01:04.998 (hh:)mm:ss.ms
Lap 65/71 -> Compound: 'Medium', TyreAge: 20 Laps, TyreWear: FL:30.0% FR:29.0% RL:25.0 RR:22.0%, FuelLoad: 10.24 Kg, PitStop: No, LapTime: 01:04.977 (hh:)mm:ss.ms
Lap 66/71 -> Compound: 'Medium', TyreAge: 21 Laps, TyreWear: FL:31.0% FR:30.0% RL:26.0 RR:24.0%, FuelLoad: 8.77 Kg, PitStop: No, LapTime: 01:04.949 (hh:)mm:ss.ms
Lap 67/71 -> Compound: 'Medium', TyreAge: 22 Laps, TyreWear: FL:33.0% FR:31.0% RL:27.0 RR:25.0%, FuelLoad: 7.31 Kg, PitStop: No, LapTime: 01:04.920 (hh:)mm:ss.ms
Lap 68/71 -> Compound: 'Medium', TyreAge: 23 Laps, TyreWear: FL:34.0% FR:33.0% RL:29.0 RR:26.0%, FuelLoad: 5.85 Kg, PitStop: No, LapTime: 01:04.904 (hh:)mm:ss.ms
Lap 69/71 -> Compound: 'Medium', TyreAge: 24 Laps, TyreWear: FL:36.0% FR:34.0% RL:30.0 RR:27.0%, FuelLoad: 4.39 Kg, PitStop: No, LapTime: 01:04.877 (hh:)mm:ss.ms
Lap 70/71 -> Compound: 'Medium', TyreAge: 25 Laps, TyreWear: FL:37.0% FR:36.0% RL:31.0 RR:28.0%, FuelLoad: 2.93 Kg, PitStop: No, LapTime: 01:04.852 (hh:)mm:ss.ms
Lap 71/71 -> Compound: 'Medium', TyreAge: 26 Laps, TyreWear: FL:39.0% FR:37.0% RL:32.0 RR:29.0%, FuelLoad: 1.46 Kg, PitStop: No, LapTime: 01:04.829 (hh:)mm:ss.ms

Fitness: 4 793 528
Total time: 01:19:53.528
