Local Search Strategy:
Lap 1/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 112.01 Kg, PitStop: No, LapTime: 01:24.609 (hh:)mm:ss.ms
Lap 16/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 88.16 Kg, PitStop: Yes, LapTime: 01:43.274 (hh:)mm:ss.ms
Lap 17/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 86.57 Kg, PitStop: No, LapTime: 01:21.216 (hh:)mm:ss.ms
Lap 18/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 84.98 Kg, PitStop: Yes, LapTime: 01:43.096 (hh:)mm:ss.ms
Lap 19/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 83.39 Kg, PitStop: No, LapTime: 01:21.038 (hh:)mm:ss.ms
Lap 20/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 81.8 Kg, PitStop: No, LapTime: 01:20.978 (hh:)mm:ss.ms
Lap 21/66 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 80.21 Kg, PitStop: No, LapTime: 01:20.925 (hh:)mm:ss.ms
Lap 22/66 -> Compound: 'Medium' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:5.0%, FuelLoad: 78.62 Kg, PitStop: No, LapTime: 01:20.867 (hh:)mm:ss.ms
Lap 23/66 -> Compound: 'Medium' TyreAge: 5 Laps, TyreWear: FL:8.0% FR:6.0% RL:7.0% RR:6.0%, FuelLoad: 77.03 Kg, PitStop: No, LapTime: 01:20.815 (hh:)mm:ss.ms
Lap 24/66 -> Compound: 'Medium' TyreAge: 6 Laps, TyreWear: FL:9.0% FR:7.0% RL:8.0% RR:7.0%, FuelLoad: 75.44 Kg, PitStop: No, LapTime: 01:20.750 (hh:)mm:ss.ms
Lap 25/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 73.85 Kg, PitStop: Yes, LapTime: 01:42.472 (hh:)mm:ss.ms
Lap 26/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 72.26 Kg, PitStop: Yes, LapTime: 01:42.383 (hh:)mm:ss.ms
Lap 27/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 70.67 Kg, PitStop: Yes, LapTime: 01:42.294 (hh:)mm:ss.ms
Lap 28/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 69.08 Kg, PitStop: Yes, LapTime: 01:42.205 (hh:)mm:ss.ms
Lap 29/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 67.49 Kg, PitStop: No, LapTime: 01:20.147 (hh:)mm:ss.ms
Lap 30/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 65.9 Kg, PitStop: Yes, LapTime: 01:42.027 (hh:)mm:ss.ms
Lap 31/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 64.31 Kg, PitStop: No, LapTime: 01:19.969 (hh:)mm:ss.ms
Lap 32/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 62.72 Kg, PitStop: No, LapTime: 01:19.910 (hh:)mm:ss.ms
Lap 33/66 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 61.13 Kg, PitStop: No, LapTime: 01:19.857 (hh:)mm:ss.ms
Lap 34/66 -> Compound: 'Medium' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:5.0%, FuelLoad: 59.54 Kg, PitStop: No, LapTime: 01:19.799 (hh:)mm:ss.ms
Lap 35/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 57.95 Kg, PitStop: Yes, LapTime: 01:41.582 (hh:)mm:ss.ms
Lap 36/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 56.36 Kg, PitStop: Yes, LapTime: 01:41.493 (hh:)mm:ss.ms
Lap 37/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 54.77 Kg, PitStop: No, LapTime: 01:19.435 (hh:)mm:ss.ms
Lap 38/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 53.18 Kg, PitStop: Yes, LapTime: 01:41.315 (hh:)mm:ss.ms
Lap 39/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 51.59 Kg, PitStop: No, LapTime: 01:19.257 (hh:)mm:ss.ms
Lap 40/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 50.0 Kg, PitStop: Yes, LapTime: 01:41.137 (hh:)mm:ss.ms
Lap 41/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 48.41 Kg, PitStop: No, LapTime: 01:19.079 (hh:)mm:ss.ms
Lap 42/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 46.82 Kg, PitStop: Yes, LapTime: 01:40.959 (hh:)mm:ss.ms
Lap 43/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 45.23 Kg, PitStop: Yes, LapTime: 01:40.870 (hh:)mm:ss.ms
Lap 44/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 43.64 Kg, PitStop: No, LapTime: 01:18.811 (hh:)mm:ss.ms
Lap 45/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 42.05 Kg, PitStop: No, LapTime: 01:18.752 (hh:)mm:ss.ms
Lap 46/66 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 40.46 Kg, PitStop: No, LapTime: 01:18.699 (hh:)mm:ss.ms
Lap 47/66 -> Compound: 'Medium' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:5.0%, FuelLoad: 38.87 Kg, PitStop: No, LapTime: 01:18.641 (hh:)mm:ss.ms
Lap 48/66 -> Compound: 'Medium' TyreAge: 5 Laps, TyreWear: FL:8.0% FR:6.0% RL:7.0% RR:6.0%, FuelLoad: 37.28 Kg, PitStop: No, LapTime: 01:18.589 (hh:)mm:ss.ms
Lap 49/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 35.69 Kg, PitStop: Yes, LapTime: 01:40.335 (hh:)mm:ss.ms
Lap 50/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 34.1 Kg, PitStop: No, LapTime: 01:18.277 (hh:)mm:ss.ms
Lap 51/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 32.51 Kg, PitStop: No, LapTime: 01:18.218 (hh:)mm:ss.ms
Lap 52/66 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 30.92 Kg, PitStop: No, LapTime: 01:18.165 (hh:)mm:ss.ms
Lap 53/66 -> Compound: 'Medium' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:5.0%, FuelLoad: 29.33 Kg, PitStop: No, LapTime: 01:18.107 (hh:)mm:ss.ms
Lap 54/66 -> Compound: 'Medium' TyreAge: 5 Laps, TyreWear: FL:8.0% FR:6.0% RL:7.0% RR:6.0%, FuelLoad: 27.74 Kg, PitStop: No, LapTime: 01:18.055 (hh:)mm:ss.ms
Lap 55/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 26.15 Kg, PitStop: Yes, LapTime: 01:39.801 (hh:)mm:ss.ms
Lap 56/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 24.56 Kg, PitStop: No, LapTime: 01:17.743 (hh:)mm:ss.ms
Lap 57/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 22.97 Kg, PitStop: No, LapTime: 01:17.684 (hh:)mm:ss.ms
Lap 58/66 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 21.38 Kg, PitStop: No, LapTime: 01:17.631 (hh:)mm:ss.ms
Lap 59/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 19.79 Kg, PitStop: Yes, LapTime: 01:39.445 (hh:)mm:ss.ms
Lap 60/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 18.2 Kg, PitStop: No, LapTime: 01:17.387 (hh:)mm:ss.ms
Lap 61/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 16.61 Kg, PitStop: Yes, LapTime: 01:39.267 (hh:)mm:ss.ms
Lap 62/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 15.02 Kg, PitStop: No, LapTime: 01:17.209 (hh:)mm:ss.ms
Lap 63/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 13.43 Kg, PitStop: No, LapTime: 01:17.150 (hh:)mm:ss.ms
Lap 64/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 11.84 Kg, PitStop: Yes, LapTime: 01:39.000 (hh:)mm:ss.ms
Lap 65/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 10.25 Kg, PitStop: No, LapTime: 01:16.942 (hh:)mm:ss.ms
Lap 66/66 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 8.66 Kg, PitStop: Yes, LapTime: 01:39.979 (hh:)mm:ss.ms

Local Search Timing: 01:36:57.134
