Local Search Strategy:
Lap 1/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 102.27 Kg, PitStop: No, LapTime: 01:27.334 (hh:)mm:ss.ms
Lap 17/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 72.05 Kg, PitStop: Yes, LapTime: 01:48.522 (hh:)mm:ss.ms
Lap 18/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 70.16 Kg, PitStop: No, LapTime: 01:23.518 (hh:)mm:ss.ms
Lap 19/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 68.27 Kg, PitStop: Yes, LapTime: 01:48.894 (hh:)mm:ss.ms
Lap 20/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 66.39 Kg, PitStop: No, LapTime: 01:23.862 (hh:)mm:ss.ms
Lap 21/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 64.5 Kg, PitStop: No, LapTime: 01:23.828 (hh:)mm:ss.ms
Lap 22/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 62.61 Kg, PitStop: Yes, LapTime: 01:49.779 (hh:)mm:ss.ms
Lap 23/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 60.72 Kg, PitStop: No, LapTime: 01:24.690 (hh:)mm:ss.ms
Lap 24/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 58.83 Kg, PitStop: No, LapTime: 01:24.613 (hh:)mm:ss.ms
Lap 25/53 -> Compound: 'Hard' TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 56.94 Kg, PitStop: No, LapTime: 01:24.522 (hh:)mm:ss.ms
Lap 26/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 55.05 Kg, PitStop: Yes, LapTime: 01:47.502 (hh:)mm:ss.ms
Lap 27/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 53.17 Kg, PitStop: Yes, LapTime: 01:55.049 (hh:)mm:ss.ms
Lap 28/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 51.28 Kg, PitStop: Yes, LapTime: 01:47.276 (hh:)mm:ss.ms
Lap 29/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 49.39 Kg, PitStop: Yes, LapTime: 01:48.986 (hh:)mm:ss.ms
Lap 30/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 47.5 Kg, PitStop: No, LapTime: 01:23.897 (hh:)mm:ss.ms
Lap 31/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 45.61 Kg, PitStop: No, LapTime: 01:23.820 (hh:)mm:ss.ms
Lap 32/53 -> Compound: 'Hard' TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 43.72 Kg, PitStop: No, LapTime: 01:23.729 (hh:)mm:ss.ms
Lap 33/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 41.83 Kg, PitStop: Yes, LapTime: 01:46.708 (hh:)mm:ss.ms
Lap 34/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 39.95 Kg, PitStop: Yes, LapTime: 01:46.596 (hh:)mm:ss.ms
Lap 35/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 38.06 Kg, PitStop: Yes, LapTime: 01:46.482 (hh:)mm:ss.ms
Lap 36/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 36.17 Kg, PitStop: No, LapTime: 01:21.478 (hh:)mm:ss.ms
Lap 37/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 34.28 Kg, PitStop: Yes, LapTime: 01:46.256 (hh:)mm:ss.ms
Lap 38/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 32.39 Kg, PitStop: No, LapTime: 01:21.250 (hh:)mm:ss.ms
Lap 39/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 30.5 Kg, PitStop: No, LapTime: 01:21.246 (hh:)mm:ss.ms
Lap 40/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 28.61 Kg, PitStop: Yes, LapTime: 01:47.740 (hh:)mm:ss.ms
Lap 41/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 26.73 Kg, PitStop: No, LapTime: 01:22.651 (hh:)mm:ss.ms
Lap 42/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 24.84 Kg, PitStop: No, LapTime: 01:22.573 (hh:)mm:ss.ms
Lap 43/53 -> Compound: 'Hard' TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 22.95 Kg, PitStop: No, LapTime: 01:22.483 (hh:)mm:ss.ms
Lap 44/53 -> Compound: 'Hard' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:4.0%, FuelLoad: 21.06 Kg, PitStop: No, LapTime: 01:22.406 (hh:)mm:ss.ms
Lap 45/53 -> Compound: 'Hard' TyreAge: 5 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 19.17 Kg, PitStop: No, LapTime: 01:22.322 (hh:)mm:ss.ms
Lap 46/53 -> Compound: 'Hard' TyreAge: 6 Laps, TyreWear: FL:8.0% FR:8.0% RL:7.0% RR:6.0%, FuelLoad: 17.28 Kg, PitStop: No, LapTime: 01:22.234 (hh:)mm:ss.ms
Lap 47/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 15.39 Kg, PitStop: Yes, LapTime: 01:45.722 (hh:)mm:ss.ms
Lap 48/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 13.51 Kg, PitStop: Yes, LapTime: 01:45.008 (hh:)mm:ss.ms
Lap 49/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 11.62 Kg, PitStop: No, LapTime: 01:20.004 (hh:)mm:ss.ms
Lap 50/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 9.73 Kg, PitStop: Yes, LapTime: 01:45.382 (hh:)mm:ss.ms
Lap 51/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 7.84 Kg, PitStop: No, LapTime: 01:20.348 (hh:)mm:ss.ms
Lap 52/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 5.95 Kg, PitStop: No, LapTime: 01:20.316 (hh:)mm:ss.ms
Lap 53/53 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0% RR:4.0%, FuelLoad: 4.06 Kg, PitStop: No, LapTime: 01:20.282 (hh:)mm:ss.ms

Local Search Timing: 01:23:03.499
