Local Search Strategy:
Lap 1/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 106.17 Kg, PitStop: No, LapTime: 01:24.081 (hh:)mm:ss.ms
Lap 12/66 -> Compound: 'Soft' TyreAge: 11 Laps, TyreWear: FL:24.0% FR:19.0% RL:21.0% RR:18.0%, FuelLoad: 88.68 Kg, PitStop: No, LapTime: 01:21.555 (hh:)mm:ss.ms
Lap 13/66 -> Compound: 'Soft' TyreAge: 12 Laps, TyreWear: FL:26.0% FR:20.0% RL:22.0% RR:20.0%, FuelLoad: 87.09 Kg, PitStop: No, LapTime: 01:21.502 (hh:)mm:ss.ms
Lap 14/66 -> Compound: 'Soft' TyreAge: 13 Laps, TyreWear: FL:28.0% FR:22.0% RL:24.0% RR:22.0%, FuelLoad: 85.5 Kg, PitStop: No, LapTime: 01:21.462 (hh:)mm:ss.ms
Lap 15/66 -> Compound: 'Soft' TyreAge: 14 Laps, TyreWear: FL:30.0% FR:24.0% RL:26.0% RR:23.0%, FuelLoad: 83.91 Kg, PitStop: No, LapTime: 01:21.418 (hh:)mm:ss.ms
Lap 16/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 82.32 Kg, PitStop: Yes, LapTime: 01:42.745 (hh:)mm:ss.ms
Lap 17/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 80.73 Kg, PitStop: No, LapTime: 01:20.699 (hh:)mm:ss.ms
Lap 18/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 79.14 Kg, PitStop: No, LapTime: 01:20.642 (hh:)mm:ss.ms
Lap 19/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 77.55 Kg, PitStop: No, LapTime: 01:20.595 (hh:)mm:ss.ms
Lap 20/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 75.96 Kg, PitStop: No, LapTime: 01:20.549 (hh:)mm:ss.ms
Lap 21/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 74.37 Kg, PitStop: No, LapTime: 01:20.493 (hh:)mm:ss.ms
Lap 22/66 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0% RR:10.0%, FuelLoad: 72.78 Kg, PitStop: No, LapTime: 01:20.447 (hh:)mm:ss.ms
Lap 23/66 -> Compound: 'Soft' TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0% RR:12.0%, FuelLoad: 71.19 Kg, PitStop: No, LapTime: 01:20.404 (hh:)mm:ss.ms
Lap 24/66 -> Compound: 'Soft' TyreAge: 8 Laps, TyreWear: FL:17.0% FR:14.0% RL:15.0% RR:13.0%, FuelLoad: 69.6 Kg, PitStop: No, LapTime: 01:20.353 (hh:)mm:ss.ms
Lap 25/66 -> Compound: 'Soft' TyreAge: 9 Laps, TyreWear: FL:19.0% FR:15.0% RL:17.0% RR:15.0%, FuelLoad: 68.01 Kg, PitStop: No, LapTime: 01:20.305 (hh:)mm:ss.ms
Lap 26/66 -> Compound: 'Soft' TyreAge: 10 Laps, TyreWear: FL:22.0% FR:17.0% RL:19.0% RR:17.0%, FuelLoad: 66.42 Kg, PitStop: No, LapTime: 01:20.267 (hh:)mm:ss.ms
Lap 27/66 -> Compound: 'Soft' TyreAge: 11 Laps, TyreWear: FL:24.0% FR:19.0% RL:21.0% RR:18.0%, FuelLoad: 64.83 Kg, PitStop: No, LapTime: 01:20.220 (hh:)mm:ss.ms
Lap 28/66 -> Compound: 'Soft' TyreAge: 12 Laps, TyreWear: FL:26.0% FR:20.0% RL:22.0% RR:20.0%, FuelLoad: 63.24 Kg, PitStop: No, LapTime: 01:20.167 (hh:)mm:ss.ms
Lap 29/66 -> Compound: 'Soft' TyreAge: 13 Laps, TyreWear: FL:28.0% FR:22.0% RL:24.0% RR:22.0%, FuelLoad: 61.65 Kg, PitStop: No, LapTime: 01:20.127 (hh:)mm:ss.ms
Lap 30/66 -> Compound: 'Soft' TyreAge: 14 Laps, TyreWear: FL:30.0% FR:24.0% RL:26.0% RR:23.0%, FuelLoad: 60.06 Kg, PitStop: No, LapTime: 01:20.083 (hh:)mm:ss.ms
Lap 31/66 -> Compound: 'Soft' TyreAge: 15 Laps, TyreWear: FL:32.0% FR:25.0% RL:28.0% RR:25.0%, FuelLoad: 58.47 Kg, PitStop: No, LapTime: 01:20.039 (hh:)mm:ss.ms
Lap 32/66 -> Compound: 'Soft' TyreAge: 16 Laps, TyreWear: FL:35.0% FR:27.0% RL:30.0% RR:26.0%, FuelLoad: 56.88 Kg, PitStop: No, LapTime: 01:20.003 (hh:)mm:ss.ms
Lap 33/66 -> Compound: 'Soft' TyreAge: 17 Laps, TyreWear: FL:37.0% FR:29.0% RL:32.0% RR:28.0%, FuelLoad: 55.29 Kg, PitStop: No, LapTime: 01:19.968 (hh:)mm:ss.ms
Lap 34/66 -> Compound: 'Soft' TyreAge: 18 Laps, TyreWear: FL:39.0% FR:30.0% RL:34.0% RR:30.0%, FuelLoad: 53.7 Kg, PitStop: No, LapTime: 01:19.928 (hh:)mm:ss.ms
Lap 35/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 52.11 Kg, PitStop: Yes, LapTime: 01:41.053 (hh:)mm:ss.ms
Lap 36/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 50.52 Kg, PitStop: No, LapTime: 01:19.007 (hh:)mm:ss.ms
Lap 37/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 48.93 Kg, PitStop: No, LapTime: 01:18.950 (hh:)mm:ss.ms
Lap 38/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 47.34 Kg, PitStop: No, LapTime: 01:18.903 (hh:)mm:ss.ms
Lap 39/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 45.75 Kg, PitStop: No, LapTime: 01:18.857 (hh:)mm:ss.ms
Lap 40/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 44.16 Kg, PitStop: Yes, LapTime: 01:40.608 (hh:)mm:ss.ms
Lap 41/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 42.57 Kg, PitStop: No, LapTime: 01:18.562 (hh:)mm:ss.ms
Lap 42/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 40.98 Kg, PitStop: No, LapTime: 01:18.505 (hh:)mm:ss.ms
Lap 43/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 39.39 Kg, PitStop: No, LapTime: 01:18.458 (hh:)mm:ss.ms
Lap 44/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 37.8 Kg, PitStop: No, LapTime: 01:18.412 (hh:)mm:ss.ms
Lap 45/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 36.21 Kg, PitStop: No, LapTime: 01:18.356 (hh:)mm:ss.ms
Lap 46/66 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0% RR:10.0%, FuelLoad: 34.62 Kg, PitStop: No, LapTime: 01:18.310 (hh:)mm:ss.ms
Lap 47/66 -> Compound: 'Soft' TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0% RR:12.0%, FuelLoad: 33.03 Kg, PitStop: No, LapTime: 01:18.267 (hh:)mm:ss.ms
Lap 48/66 -> Compound: 'Soft' TyreAge: 8 Laps, TyreWear: FL:17.0% FR:14.0% RL:15.0% RR:13.0%, FuelLoad: 31.44 Kg, PitStop: No, LapTime: 01:18.216 (hh:)mm:ss.ms
Lap 49/66 -> Compound: 'Soft' TyreAge: 9 Laps, TyreWear: FL:19.0% FR:15.0% RL:17.0% RR:15.0%, FuelLoad: 29.85 Kg, PitStop: No, LapTime: 01:18.168 (hh:)mm:ss.ms
Lap 50/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 28.26 Kg, PitStop: Yes, LapTime: 01:39.718 (hh:)mm:ss.ms
Lap 51/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 26.67 Kg, PitStop: No, LapTime: 01:17.672 (hh:)mm:ss.ms
Lap 52/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 25.08 Kg, PitStop: No, LapTime: 01:17.615 (hh:)mm:ss.ms
Lap 53/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 23.49 Kg, PitStop: Yes, LapTime: 01:39.451 (hh:)mm:ss.ms
Lap 54/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 21.9 Kg, PitStop: No, LapTime: 01:17.405 (hh:)mm:ss.ms
Lap 55/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 20.31 Kg, PitStop: No, LapTime: 01:17.347 (hh:)mm:ss.ms
Lap 56/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 18.72 Kg, PitStop: No, LapTime: 01:17.300 (hh:)mm:ss.ms
Lap 57/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 17.13 Kg, PitStop: No, LapTime: 01:17.254 (hh:)mm:ss.ms
Lap 58/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 15.54 Kg, PitStop: No, LapTime: 01:17.198 (hh:)mm:ss.ms
Lap 59/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 13.95 Kg, PitStop: Yes, LapTime: 01:38.916 (hh:)mm:ss.ms
Lap 60/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 12.36 Kg, PitStop: No, LapTime: 01:16.870 (hh:)mm:ss.ms
Lap 61/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 10.77 Kg, PitStop: No, LapTime: 01:16.813 (hh:)mm:ss.ms
Lap 62/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 9.18 Kg, PitStop: No, LapTime: 01:16.766 (hh:)mm:ss.ms
Lap 63/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 7.59 Kg, PitStop: No, LapTime: 01:16.720 (hh:)mm:ss.ms
Lap 64/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 6.0 Kg, PitStop: No, LapTime: 01:16.664 (hh:)mm:ss.ms
Lap 65/66 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0% RR:10.0%, FuelLoad: 4.41 Kg, PitStop: No, LapTime: 01:16.618 (hh:)mm:ss.ms
Lap 66/66 -> Compound: 'Soft' TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0% RR:12.0%, FuelLoad: 2.82 Kg, PitStop: No, LapTime: 01:16.575 (hh:)mm:ss.ms

Local Search Timing: 01:29:35.696
